Name,Scores
Alabama,32274
Arizona,32077
Arkansas,31493
California,40902
Colorado,40093
Connecticut,52736
Delaware,40135
Florida,36565
Georgia,33086
Idaho,30987
Illinois,40933
Indiana,33174
Iowa,35983
Kansas,37036
Kentucky,31250
Louisiana,35151
Maine,35268
Maryland,47159
Massachusetts,49590
Michigan,34280
Minnesota,40920
Mississippi,29318
Missouri,35106
Montana,32699
Nebraska,37057
Nevada,38009
New Hampshire,41882
New Jersey,48123
New Mexico,32197
New York,46844
North Carolina,33564
North Dakota,38672
Ohio,35018
Oklahoma,33708
Oregon,35210
Pennsylvania,38827
Rhode Island,41283
South Carolina,30835
South Dakota,36499
Tennessee,33512
Texas,35674
Utah,30107
Vermont,36752
Virginia,43211
Washington,40619
West Virginia,31843
Wisconsin,35676
Wyoming,42504
